(havtob) a2019403475@nasp-cpu-02:~$ cat VGG19_PS_output_256bsz_3.txt 
Rank: 3, epoch: 0, batch_idx: 123, train-time: 6.6265034675598145, com-time: 9.22248649597168, loss 2.3830292224884033, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 124, train-time: 6.65138840675354, com-time: 9.222683429718018, loss 2.351221799850464, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 125, train-time: 6.625003337860107, com-time: 9.245689868927002, loss 2.3745601177215576, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 126, train-time: 6.64506459236145, com-time: 9.235283374786377, loss 2.380635976791382, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 127, train-time: 6.633253335952759, com-time: 9.242150783538818, loss 2.3557565212249756, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 128, train-time: 6.644981384277344, com-time: 9.244479417800903, loss 2.3355445861816406, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 129, train-time: 6.644523859024048, com-time: 9.231094121932983, loss 2.3030896186828613, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 130, train-time: 6.643954038619995, com-time: 9.346980094909668, loss 2.3497796058654785, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 131, train-time: 6.6273815631866455, com-time: 9.301460027694702, loss 2.2631640434265137, prec: 21.568628311157227, 
Rank: 3, epoch: 0, batch_idx: 132, train-time: 6.642918348312378, com-time: 9.241281747817993, loss 2.259577989578247, prec: 17.647058486938477, 
Rank: 3, epoch: 0, batch_idx: 133, train-time: 6.627606153488159, com-time: 9.294532060623169, loss 2.3188366889953613, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 134, train-time: 6.643233776092529, com-time: 9.244453430175781, loss 2.369274139404297, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 135, train-time: 6.624671697616577, com-time: 9.230772018432617, loss 2.3387539386749268, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 136, train-time: 6.6429901123046875, com-time: 9.412493705749512, loss 2.320206642150879, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 137, train-time: 6.635544061660767, com-time: 9.24293327331543, loss 2.3184099197387695, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 138, train-time: 6.644639253616333, com-time: 9.23641300201416, loss 2.329101324081421, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 139, train-time: 6.633658409118652, com-time: 9.237194776535034, loss 2.3155012130737305, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 140, train-time: 6.643059730529785, com-time: 9.242936611175537, loss 2.397989273071289, prec: 3.9215686321258545, 
Rank: 3, epoch: 0, batch_idx: 141, train-time: 6.620453119277954, com-time: 9.248814344406128, loss 2.386599063873291, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 142, train-time: 6.643569707870483, com-time: 9.242497682571411, loss 2.4146385192871094, prec: 3.9215686321258545, 
Rank: 3, epoch: 0, batch_idx: 143, train-time: 6.63475489616394, com-time: 9.243773698806763, loss 2.386794328689575, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 144, train-time: 6.635695695877075, com-time: 9.243130445480347, loss 2.3418424129486084, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 145, train-time: 6.629558563232422, com-time: 9.218973159790039, loss 2.3196465969085693, prec: 17.647058486938477, 
Rank: 3, epoch: 0, batch_idx: 146, train-time: 6.642401456832886, com-time: 9.241923809051514, loss 2.3085179328918457, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 147, train-time: 6.621914863586426, com-time: 9.215843200683594, loss 2.349719285964966, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 148, train-time: 6.659447193145752, com-time: 9.305163145065308, loss 2.353863000869751, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 149, train-time: 6.63588285446167, com-time: 9.240922451019287, loss 2.350433349609375, prec: 15.686274528503418, 
Rank: 3, epoch: 0, batch_idx: 150, train-time: 6.643175363540649, com-time: 9.28234577178955, loss 2.3609111309051514, prec: 1.9607843160629272, 
Rank: 3, epoch: 0, batch_idx: 151, train-time: 6.633906841278076, com-time: 9.23013710975647, loss 2.325108051300049, prec: 19.60784339904785, 
Rank: 3, epoch: 0, batch_idx: 152, train-time: 6.639131546020508, com-time: 9.262239694595337, loss 2.3406472206115723, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 153, train-time: 6.6414713859558105, com-time: 9.230234861373901, loss 2.337041139602661, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 154, train-time: 6.635500431060791, com-time: 9.218601942062378, loss 2.3580994606018066, prec: 7.843137264251709, 
